index,event_type,timestamp,user_role,user,source_IP,region,response_code,resource_type,action,hour,unusual_hour,geo_anomaly,failed_action,failed_actions_count,action_count
0,EC2 Log,2024-09-02 04:32:24,IAMUser,dev-user,ip-172-31-0-142,us-east-1,,EC2,CPU Warning,4,1,0,0,0,
1,EC2 Log,2024-09-09 07:40:08,IAMUser,test-user,ip-172-31-0-194,us-east-1,,EC2,SecurityPatch,7,1,0,0,0,
2,EC2 Log,2024-09-07 14:49:30,IAMUser,test-user,ip-172-31-0-141,us-east-1,,EC2,TerminateInstance,14,0,0,0,0,
3,EC2 Log,2024-09-05 10:34:27,IAMUser,dev-user,ip-172-31-0-18,us-east-1,,EC2,Unknown,10,0,0,0,0,
4,EC2 Log,2024-09-08 21:16:15,IAMUser,test-user,ip-172-31-0-225,us-east-1,,EC2,CPU Warning,21,1,0,0,0,
5,EC2 Log,2024-08-31 07:40:42,IAMUser,dev-user,ip-172-31-0-81,us-east-1,,EC2,Unknown,7,1,0,0,0,
6,EC2 Log,2024-09-07 12:10:50,IAMUser,test-user,ip-172-31-0-147,us-east-1,,EC2,SecurityPatch,12,0,0,0,0,
7,EC2 Log,2024-09-11 14:02:52,IAMUser,dev-user,ip-172-31-0-121,us-east-1,,EC2,Unknown,14,0,0,0,0,
8,EC2 Log,2024-09-03 05:57:21,IAMUser,dev-user,ip-172-31-0-130,us-east-1,,EC2,Unknown,5,1,0,0,0,
9,EC2 Log,2024-08-29 15:19:52,IAMUser,admin,ip-172-31-0-74,us-east-1,,EC2,Unknown,15,0,0,0,0,
10,EC2 Log,2024-09-08 22:52:42,IAMUser,test-user,ip-172-31-0-60,us-east-1,,EC2,Unknown,22,1,0,0,0,
11,EC2 Log,2024-09-05 04:05:16,IAMUser,test-user,ip-172-31-0-15,us-east-1,,EC2,Unknown,4,1,0,0,0,
12,EC2 Log,2024-09-07 13:56:28,IAMUser,admin,ip-172-31-0-79,us-east-1,,EC2,Unknown,13,0,0,0,0,
13,EC2 Log,2024-09-03 14:08:24,IAMUser,dev-user,ip-172-31-0-186,us-east-1,,EC2,Unknown,14,0,0,0,0,
14,EC2 Log,2024-09-05 19:09:17,IAMUser,dev-user,ip-172-31-0-147,us-east-1,,EC2,TerminateInstance,19,1,0,0,0,
15,EC2 Log,2024-09-08 01:00:34,IAMUser,test-user,ip-172-31-0-176,us-east-1,,EC2,Unknown,1,1,0,0,0,
16,EC2 Log,2024-08-31 09:58:57,IAMUser,admin,ip-172-31-0-32,us-east-1,,EC2,Unknown,9,0,0,0,0,
17,EC2 Log,2024-09-05 00:38:35,IAMUser,admin,ip-172-31-0-178,us-east-1,,EC2,Unknown,0,1,0,0,0,
18,EC2 Log,2024-09-11 23:17:49,IAMUser,admin,ip-172-31-0-54,us-east-1,,EC2,Unknown,23,1,0,0,0,
19,EC2 Log,2024-09-10 10:21:28,IAMUser,admin,ip-172-31-0-216,us-east-1,,EC2,Unknown,10,0,0,0,0,
20,EC2 Log,2024-09-02 14:24:21,IAMUser,admin,ip-172-31-0-151,us-east-1,,EC2,Unknown,14,0,0,0,0,
21,EC2 Log,2024-08-30 00:12:10,IAMUser,test-user,ip-172-31-0-250,us-east-1,,EC2,CPU Warning,0,1,0,0,0,
22,EC2 Log,2024-09-07 21:08:29,IAMUser,admin,ip-172-31-0-102,us-east-1,,EC2,SecurityPatch,21,1,0,0,0,
23,EC2 Log,2024-09-05 15:13:00,IAMUser,dev-user,ip-172-31-0-209,us-east-1,,EC2,Unknown,15,0,0,0,0,
24,EC2 Log,2024-09-10 13:20:06,IAMUser,test-user,ip-172-31-0-135,us-east-1,,EC2,Unknown,13,0,0,0,0,
25,EC2 Log,2024-09-02 10:05:52,IAMUser,dev-user,ip-172-31-0-247,us-east-1,,EC2,Unknown,10,0,0,0,0,
26,EC2 Log,2024-09-03 10:41:00,IAMUser,dev-user,ip-172-31-0-120,us-east-1,,EC2,SecurityPatch,10,0,0,0,0,
27,EC2 Log,2024-09-09 08:28:56,IAMUser,dev-user,ip-172-31-0-165,us-east-1,,EC2,Unknown,8,1,0,0,0,
28,EC2 Log,2024-09-09 03:40:23,IAMUser,test-user,ip-172-31-0-173,us-east-1,,EC2,Unknown,3,1,0,0,0,
29,EC2 Log,2024-09-01 06:30:16,IAMUser,admin,ip-172-31-0-234,us-east-1,,EC2,Unknown,6,1,0,0,0,
30,EC2 Log,2024-09-01 02:55:17,IAMUser,dev-user,ip-172-31-0-206,us-east-1,,EC2,TerminateInstance,2,1,0,0,0,
31,EC2 Log,2024-09-11 18:33:36,IAMUser,dev-user,ip-172-31-0-244,us-east-1,,EC2,Unknown,18,1,0,0,0,
32,EC2 Log,2024-09-09 02:07:47,IAMUser,test-user,ip-172-31-0-182,us-east-1,,EC2,CPU Warning,2,1,0,0,0,
33,EC2 Log,2024-08-31 07:41:11,IAMUser,admin,ip-172-31-0-28,us-east-1,,EC2,CPU Warning,7,1,0,0,0,
34,EC2 Log,2024-09-02 06:57:25,IAMUser,admin,ip-172-31-0-44,us-east-1,,EC2,Unknown,6,1,0,0,0,
35,EC2 Log,2024-08-31 10:21:52,IAMUser,test-user,ip-172-31-0-16,us-east-1,,EC2,TerminateInstance,10,0,0,0,0,
36,EC2 Log,2024-09-10 23:03:25,IAMUser,admin,ip-172-31-0-22,us-east-1,,EC2,CPU Warning,23,1,0,0,0,
37,EC2 Log,2024-09-09 17:11:36,IAMUser,admin,ip-172-31-0-143,us-east-1,,EC2,SecurityPatch,17,0,0,0,0,
38,EC2 Log,2024-09-10 08:00:48,IAMUser,test-user,ip-172-31-0-206,us-east-1,,EC2,SecurityPatch,8,1,0,0,0,
39,EC2 Log,2024-08-31 09:04:43,IAMUser,dev-user,ip-172-31-0-221,us-east-1,,EC2,Unknown,9,0,0,0,0,
40,EC2 Log,2024-09-02 13:23:51,IAMUser,test-user,ip-172-31-0-128,us-east-1,,EC2,Unknown,13,0,0,0,0,
41,EC2 Log,2024-09-11 00:05:06,IAMUser,dev-user,ip-172-31-0-29,us-east-1,,EC2,Unknown,0,1,0,0,0,
42,EC2 Log,2024-09-05 18:13:48,IAMUser,admin,ip-172-31-0-73,us-east-1,,EC2,Unknown,18,1,0,0,0,
43,EC2 Log,2024-09-01 14:36:38,IAMUser,admin,ip-172-31-0-3,us-east-1,,EC2,TerminateInstance,14,0,0,0,0,
44,EC2 Log,2024-09-12 05:26:28,IAMUser,dev-user,ip-172-31-0-214,us-east-1,,EC2,SecurityPatch,5,1,0,0,0,
45,EC2 Log,2024-09-11 20:43:41,IAMUser,test-user,ip-172-31-0-195,us-east-1,,EC2,Unknown,20,1,0,0,0,
46,EC2 Log,2024-09-09 01:28:54,IAMUser,dev-user,ip-172-31-0-185,us-east-1,,EC2,Unknown,1,1,0,0,0,
47,EC2 Log,2024-09-05 09:32:31,IAMUser,admin,ip-172-31-0-174,us-east-1,,EC2,Unknown,9,0,0,0,0,
48,EC2 Log,2024-09-08 22:25:25,IAMUser,admin,ip-172-31-0-97,us-east-1,,EC2,Unknown,22,1,0,0,0,
49,EC2 Log,2024-09-02 15:33:05,IAMUser,dev-user,ip-172-31-0-6,us-east-1,,EC2,Unknown,15,0,0,0,0,
50,EC2 Log,2024-08-31 08:43:03,IAMUser,admin,ip-172-31-0-237,us-east-1,,EC2,Unknown,8,1,0,0,0,
51,EC2 Log,2024-08-31 09:45:19,IAMUser,dev-user,ip-172-31-0-184,us-east-1,,EC2,Unknown,9,0,0,0,0,
52,EC2 Log,2024-08-30 07:35:39,IAMUser,admin,ip-172-31-0-50,us-east-1,,EC2,Unknown,7,1,0,0,0,
53,EC2 Log,2024-09-10 09:54:03,IAMUser,test-user,ip-172-31-0-69,us-east-1,,EC2,Unknown,9,0,0,0,0,
54,EC2 Log,2024-09-06 15:43:12,IAMUser,admin,ip-172-31-0-117,us-east-1,,EC2,CPU Warning,15,0,0,0,0,
55,EC2 Log,2024-09-01 09:26:33,IAMUser,dev-user,ip-172-31-0-12,us-east-1,,EC2,TerminateInstance,9,0,0,0,0,
56,EC2 Log,2024-09-02 15:03:27,IAMUser,dev-user,ip-172-31-0-218,us-east-1,,EC2,Unknown,15,0,0,0,0,
57,EC2 Log,2024-09-10 01:21:50,IAMUser,admin,ip-172-31-0-109,us-east-1,,EC2,TerminateInstance,1,1,0,0,0,
58,EC2 Log,2024-09-10 11:44:09,IAMUser,test-user,ip-172-31-0-215,us-east-1,,EC2,TerminateInstance,11,0,0,0,0,
59,EC2 Log,2024-09-07 14:04:41,IAMUser,admin,ip-172-31-0-174,us-east-1,,EC2,Unknown,14,0,0,0,0,
60,EC2 Log,2024-09-04 05:57:26,IAMUser,dev-user,ip-172-31-0-54,us-east-1,,EC2,Unknown,5,1,0,0,0,
61,EC2 Log,2024-09-08 10:22:35,IAMUser,dev-user,ip-172-31-0-156,us-east-1,,EC2,Unknown,10,0,0,0,0,
62,EC2 Log,2024-09-02 17:55:54,IAMUser,admin,ip-172-31-0-196,us-east-1,,EC2,Unknown,17,0,0,0,0,
